id,criterio,metodo,status,evidencia,detalhe
HUM-001,"SHA candidato worktree raiz e isolamento","git rev-parse; git cat-file; git status",OK,"worktree autorizado e SHA 074bff85c7c560386ca0ed7f0802d4e896534571","HEAD=candidato; tree=cd1858ccdabb600d5d91545adbff88c4932986a8; status limpo"
HUM-002,"Inventário integral Git e filesystem","git ls-tree -r -t; Get-ChildItem -Force -Recurse; hash por arquivo fora da área proibida",OK,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\inventario.csv","1180 entradas: 1039 arquivos e 141 diretórios; 0 tracked missing; 1 filesystem-only (.git); 20 arquivos em auditoria/execucoes marcados PROIBIDO_NAO_LIDO"
HUM-003,"Build exato GitHub Pages","Ruby 3.1.7; github-pages 232; jekyll build --source . --destination temp",OK,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\crawl_local.csv","exit 0; 4 arquivos emitidos: index.html 948 B, 404.html 611 B, robots.txt 28 B, llms.txt 223 B"
HUM-004,"Crawl HTTP local integral","servidor local e requisições por rota",BLOQUEADO,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\crawl_local.csv","não executado antes da ordem de fechamento; somente artefatos do build foram inventariados"
HUM-005,"Crawl HTTP produção integral","GET anônimo por rota derivada",BLOQUEADO,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\crawl_producao.csv","não executado; ausência de recibos HTTP nativos verificáveis"
HUM-006,"Matriz 27 UFs x 3 classes e 13 classes federais","confronto item a item da matriz fonte",BLOQUEADO,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\revisao.md","a matriz operacional está sob auditoria/execucoes e seu conteúdo foi expressamente proibido"
HUM-007,"Quarentena por ID literal e fingerprint sem amostra","varredura integral da superfície emitida contra corpus",BLOQUEADO,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\revisao.md","gate foi lido; execução material e recibo não produzidos antes do fechamento"
HUM-008,"Avisos navegação meta estrutura e overflow 390x844 e 1440x900","DOM e viewport",A VALIDAR,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\crawl_local.csv","fontes e build mostram viewport e meta robots; navegação/overflow não foram renderizados"
HUM-009,"Gates novos cobrem portal e produção","diff e leitura integral dos gates alterados",BLOQUEADO,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\revisao.md","workflow executa 11 gates detalhados mas omite audit_publication e audit_public_http_hashes; raízes/recibos/isolamento não verificáveis no escopo permitido"
HUM-010,"Dois mutantes inéditos por classe em paths aleatórios","execução em cópias temporárias",BLOQUEADO,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\revisao.md","não executado antes da ordem de fechamento; não houve alteração do worktree"
HUM-011,"Seis entregáveis finais presentes e coerentes","existência e coerência de status",OK,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\final.json","inventario.csv; crawl_local.csv; crawl_producao.csv; ledger.csv; revisao.md; final.json"
RAC-001,"Critérios falsificáveis definidos antes da execução","workflow do rito temporário",OK,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\revisao.md","critérios HUM-001 a HUM-011 definidos antes da coleta"
RAC-003,"Revisão adversarial re-derivada da fonte crua","cadeias independentes",OK,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\revisao.md","cadeias de identidade build cobertura de gates e recibos re-derivadas"
RAC-005,"Fechamento literal coerente","status e veredito fail-closed",OK,"C:\Users\rafae\AppData\Local\Temp\rjc-monitor-2026-07-13-wave2\humano\final.json","Status BLOQUEADO; Veredito NÃO CONFORME"
