source_id,jurisdicao,classe,url_inicial,url_final,dominio_oficial_esperado,status_http,sha256_corpo,receipt_id,status_prova,observacao
AC::SEFAZ_LEGISLACAO,AC,SEFAZ_LEGISLACAO,https://www.sefaz.ac.gov.br/legislacao/,,www.sefaz.ac.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AC::DOE,AC,DOE,https://diario.ac.gov.br/,,diario.ac.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AC::ASSEMBLEIA_LEGISLATIVA,AC,ASSEMBLEIA_LEGISLATIVA,https://www.al.ac.leg.br/,,www.al.ac.leg.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AL::SEFAZ_LEGISLACAO,AL,SEFAZ_LEGISLACAO,https://www.sefaz.al.gov.br/legislacao,,www.sefaz.al.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AL::DOE,AL,DOE,https://diario.imprensaoficial.al.gov.br/,,diario.imprensaoficial.al.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AL::ASSEMBLEIA_LEGISLATIVA,AL,ASSEMBLEIA_LEGISLATIVA,https://www.al.al.leg.br/,,www.al.al.leg.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AM::SEFAZ_LEGISLACAO,AM,SEFAZ_LEGISLACAO,https://online.sefaz.am.gov.br/silt/,,online.sefaz.am.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AM::DOE,AM,DOE,https://diario.imprensaoficial.am.gov.br/,,diario.imprensaoficial.am.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AM::ASSEMBLEIA_LEGISLATIVA,AM,ASSEMBLEIA_LEGISLATIVA,https://www.aleam.gov.br/,,www.aleam.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AP::SEFAZ_LEGISLACAO,AP,SEFAZ_LEGISLACAO,https://virtual.sefaz.ap.gov.br/portal/,,virtual.sefaz.ap.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AP::DOE,AP,DOE,https://diofe.portal.ap.gov.br/,,diofe.portal.ap.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
AP::ASSEMBLEIA_LEGISLATIVA,AP,ASSEMBLEIA_LEGISLATIVA,https://www.al.ap.gov.br/,,www.al.ap.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
BA::SEFAZ_LEGISLACAO,BA,SEFAZ_LEGISLACAO,https://www.sefaz.ba.gov.br/legislacao/,,www.sefaz.ba.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
BA::DOE,BA,DOE,https://dool.egba.ba.gov.br/,,dool.egba.ba.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
BA::ASSEMBLEIA_LEGISLATIVA,BA,ASSEMBLEIA_LEGISLATIVA,https://www.al.ba.gov.br/,,www.al.ba.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
CE::SEFAZ_LEGISLACAO,CE,SEFAZ_LEGISLACAO,https://www.sefaz.ce.gov.br/legislacao-tributaria/,,www.sefaz.ce.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
CE::DOE,CE,DOE,https://www.ce.gov.br/diario-oficial/,,www.ce.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
CE::ASSEMBLEIA_LEGISLATIVA,CE,ASSEMBLEIA_LEGISLATIVA,https://www.al.ce.gov.br/,,www.al.ce.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
DF::SEFAZ_LEGISLACAO,DF,SEFAZ_LEGISLACAO,https://ww1.receita.fazenda.df.gov.br/legislacao/pesquisa-avancada,,ww1.receita.fazenda.df.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
DF::DOE,DF,DOE,https://www.dodf.df.gov.br/,,www.dodf.df.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
DF::ASSEMBLEIA_LEGISLATIVA,DF,ASSEMBLEIA_LEGISLATIVA,https://www.cl.df.gov.br/leis,,www.cl.df.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
ES::SEFAZ_LEGISLACAO,ES,SEFAZ_LEGISLACAO,https://www3.sefaz.es.gov.br/legislacao/,,www3.sefaz.es.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
ES::DOE,ES,DOE,https://ioes.dio.es.gov.br/portal/visualizacoes/diario_oficial,,ioes.dio.es.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
ES::ASSEMBLEIA_LEGISLATIVA,ES,ASSEMBLEIA_LEGISLATIVA,https://www3.al.es.gov.br/legislacao/consulta-legislacao.aspx,,www3.al.es.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
GO::SEFAZ_LEGISLACAO,GO,SEFAZ_LEGISLACAO,https://goias.gov.br/economia/legislacao-tributaria/,,goias.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
GO::DOE,GO,DOE,https://www.diariooficial.abc.go.gov.br/,,www.diariooficial.abc.go.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
GO::ASSEMBLEIA_LEGISLATIVA,GO,ASSEMBLEIA_LEGISLATIVA,https://transparencia.al.go.leg.br/legislacoes,,transparencia.al.go.leg.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MA::SEFAZ_LEGISLACAO,MA,SEFAZ_LEGISLACAO,https://sistemas1.sefaz.ma.gov.br/portalsefaz/jsp/pagina/pagina.jsf?codigo=95,,sistemas1.sefaz.ma.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MA::DOE,MA,DOE,https://www.diariooficial.ma.gov.br/,,www.diariooficial.ma.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MA::ASSEMBLEIA_LEGISLATIVA,MA,ASSEMBLEIA_LEGISLATIVA,https://www.al.ma.leg.br/,,www.al.ma.leg.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MG::SEFAZ_LEGISLACAO,MG,SEFAZ_LEGISLACAO,https://www.fazenda.mg.gov.br/empresas/legislacao_tributaria/,,www.fazenda.mg.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MG::DOE,MG,DOE,https://www.jornalminasgerais.mg.gov.br/,,www.jornalminasgerais.mg.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MG::ASSEMBLEIA_LEGISLATIVA,MG,ASSEMBLEIA_LEGISLATIVA,https://www.almg.gov.br/atividade-parlamentar/leis/legislacao-mineira,,www.almg.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MS::SEFAZ_LEGISLACAO,MS,SEFAZ_LEGISLACAO,https://www.sefaz.ms.gov.br/legislacao/,,www.sefaz.ms.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MS::DOE,MS,DOE,https://www.spdo.ms.gov.br/DiarioDOE/Index/Index/,,www.spdo.ms.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MS::ASSEMBLEIA_LEGISLATIVA,MS,ASSEMBLEIA_LEGISLATIVA,https://al.ms.gov.br/,,al.ms.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MT::SEFAZ_LEGISLACAO,MT,SEFAZ_LEGISLACAO,https://app1.sefaz.mt.gov.br/Sistema/legislacao/legislacaotribut.nsf/,,app1.sefaz.mt.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
MT::DOE,MT,DOE,https://www.iomat.mt.gov.br/,,www.iomat.mt.gov.br,,,,PENDENTE_DE_CAPTURA,Fonte institucional candidata; não é prova de regra até leitura do ato.
